Attributes,Adj Close,Adj Close.1,Close,Close.1,High,High.1,Low,Low.1,Open,Open.1,Volume,Volume.1,Adj Close.2,Adj Close.3,Close.2,Close.3,High.2,High.3,Low.2,Low.3,Open.2,Open.3,Volume.2,Volume.3
Symbols,AAPL,AMZN,AAPL,AMZN,AAPL,AMZN,AAPL,AMZN,AAPL,AMZN,AAPL,AMZN,IBM,SNE,IBM,SNE,IBM,SNE,IBM,SNE,IBM,SNE,IBM,SNE
Date,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-07,145.002685546875,1629.510009765625,147.92999267578125,1629.510009765625,148.8300018310547,1634.56005859375,145.89999389648438,1589.18994140625,148.6999969482422,1602.31005859375,54777800.0,7993200.0,110.10086059570312,49.354454040527344,118.1500015258789,49.720001220703125,118.83000183105469,50.310001373291016,116.66999816894531,49.43000030517578,117.5,49.459999084472656,3751200.0,674000.0
2019-01-08,147.76686096191406,1656.5799560546875,150.75,1656.5799560546875,151.82000732421875,1676.6099853515625,148.52000427246094,1616.6099853515625,149.55999755859375,1664.68994140625,41025300.0,8881400.0,111.6664047241211,49.52320098876953,119.83000183105469,49.88999938964844,120.56999969482422,50.2599983215332,118.9800033569336,49.40999984741211,119.66000366210938,50.150001525878906,4763600.0,1033000.0
2019-01-09,150.2761993408203,1659.4200439453125,153.30999755859375,1659.4200439453125,154.52999877929688,1667.800048828125,149.6300048828125,1641.4000244140625,151.2899932861328,1652.97998046875,45099100.0,6348800.0,112.46781921386719,49.56290817260742,120.69000244140625,49.93000030517578,121.4000015258789,50.130001068115234,119.87000274658203,49.31999969482422,120.91000366210938,49.810001373291016,3633700.0,658900.0
2019-01-10,150.75653076171875,1656.219970703125,153.8000030517578,1656.219970703125,153.97000122070312,1663.25,150.86000061035156,1621.6199951171875,152.5,1641.010009765625,35780700.0,6507700.0,113.49288177490234,48.739009857177734,121.79000091552734,49.099998474121094,121.86000061035156,49.119998931884766,119.94999694824219,48.5,120.08000183105469,48.68000030517578,3910000.0,1067000.0
2019-01-11,149.27638244628906,1640.56005859375,152.2899932861328,1640.56005859375,153.6999969482422,1660.2900390625,151.50999450683594,1636.219970703125,152.8800048828125,1640.550048828125,27023200.0,4686200.0,113.18537139892578,48.61989212036133,121.45999908447266,48.97999954223633,121.62000274658203,49.08000183105469,120.19999694824219,48.77000045776367,121.58000183105469,48.880001068115234,3722400.0,591000.0
2019-01-14,147.03170776367188,1617.2099609375,150.0,1617.2099609375,151.27000427246094,1648.199951171875,149.22000122070312,1595.1500244140625,150.85000610351562,1615.0,32439200.0,6005900.0,112.1882553100586,48.06400680541992,120.38999938964844,48.41999816894531,120.6500015258789,48.7400016784668,119.76000213623047,48.29999923706055,120.51000213623047,48.70000076293945,5228700.0,735900.0
2019-01-15,150.0409698486328,1674.56005859375,153.07000732421875,1674.56005859375,153.38999938964844,1675.1600341796875,150.0500030517578,1626.010009765625,150.27000427246094,1632.0,28710900.0,5998500.0,113.43697357177734,49.473567962646484,121.7300033569336,49.84000015258789,121.93000030517578,50.130001068115234,120.81999969482422,49.599998474121094,120.95999908447266,49.63999938964844,3507500.0,985800.0
2019-01-16,151.87396240234375,1683.780029296875,154.94000244140625,1683.780029296875,155.8800048828125,1705.0,153.0,1675.8800048828125,153.0800018310547,1684.219970703125,30569700.0,6366900.0,113.33446502685547,49.245262145996094,121.62000274658203,49.61000061035156,122.0,49.91999816894531,120.83000183105469,49.47999954223633,121.58000183105469,49.58000183105469,3841100.0,880800.0
